org_id,name,category,ntee_major,ntee_full,city,state
org_000361,Atlanta Beltline Partnership Inc,"Arts, Culture & Humanities",A,A80,Atlanta,GA
org_000073,Alamo Trust Inc,"Arts, Culture & Humanities",A,A54,San Antonio,TX
org_000374,Natural Science Center Of Greensboro Inc,"Arts, Culture & Humanities",A,A560,Greensboro,NC
org_000155,Franklin Institute,"Arts, Culture & Humanities",A,A25,Philadelphia,PA
org_000104,Henry Francis Du Pont Winterthur Museum Inc,"Arts, Culture & Humanities",A,A510,Winterthur,DE
org_000394,Texas Ballet Theater Inc,"Arts, Culture & Humanities",A,A63,Fort Worth,TX
org_000377,Museum Of Contemporary Art,"Arts, Culture & Humanities",A,A510,Los Angeles,CA
org_000124,Woodlands Center For The Performing Arts,"Arts, Culture & Humanities",A,A60B,The Woodlands,TX
org_000068,Denver Center For The Performing Arts,"Arts, Culture & Humanities",A,A610,Denver,CO
org_000450,Orlando Science Center Inc,"Arts, Culture & Humanities",A,A570,Orlando,FL
org_000009,Canada Council For The Arts,"Arts, Culture & Humanities",A,A26Z,Canada,
org_000194,Artis Naples Inc,"Arts, Culture & Humanities",A,A610,Naples,FL
org_000406,Seattle Opera,"Arts, Culture & Humanities",A,A6A0,Seattle,WA
org_000084,Friends Of United Hatzalah Inc,"Arts, Culture & Humanities",A,A70,New York,NY
org_000371,5 Th Avenue Theatre Association,"Arts, Culture & Humanities",A,A650,Seattle,WA
org_000388,Lorraine Civil Rights Museum Foundation,"Arts, Culture & Humanities",A,A540,Memphis,TN
org_000495,Vermont Public Co,"Arts, Culture & Humanities",A,A30,Colchester,VT
org_000030,Colonial Williamsburg Foundation,"Arts, Culture & Humanities",A,A800,Williamsburg,VA
org_000316,Count Basie Theatre Inc,"Arts, Culture & Humanities",A,A610,Red Bank,NJ
org_000408,American Conservatory Theatre Foundation,"Arts, Culture & Humanities",A,A650,San Francisco,CA
org_000490,Western New York Public Broadcasting Association,"Arts, Culture & Humanities",A,A300,Buffalo,NY
org_000491,Cedars Youth Services Inc,"Arts, Culture & Humanities",A,A20M,Lincoln,NE
org_000280,French American School Of New York Inc,"Arts, Culture & Humanities",A,A74Z,Mamaroneck,NY
org_000356,Scottsdale Arts,"Arts, Culture & Humanities",A,A260,Scottsdale,AZ
org_000076,Philadelphia Orchestra Association,"Arts, Culture & Humanities",A,A690,Philadelphia,PA
org_000461,National Corvette Museum Foundation Inc,"Arts, Culture & Humanities",A,A500,Bowling Green,KY
org_000497,San Diego Museum Of Art,"Arts, Culture & Humanities",A,A510,San Diego,CA
org_000211,Robert Rauschenberg Foundation,"Arts, Culture & Humanities",A,A90,New York,NY
org_000101,San Francisco Ballet Association,"Arts, Culture & Humanities",A,A630,San Francisco,CA
org_000334,Universal Communications Network Inc,"Arts, Culture & Humanities",A,A32,New York,NY
