org_id,ein,name,category,ntee_major,ntee_full,city,state
org_000000,530206027,Smithsonian Institute,"Arts, Culture & Humanities",A,A50Z,Washington,DC
org_000001,131624086,The Metropolitan Museum Of Art,"Arts, Culture & Humanities",A,A510,New York,NY
org_000002,520899215,Public Broadcasting Service,"Arts, Culture & Humanities",A,A320,Arlington,VA
org_000003,953510046,Crystal Stairs Inc,"Arts, Culture & Humanities",A,A25,Los Angeles,CA
org_000004,520907625,National Public Radio Inc,"Arts, Culture & Humanities",A,A340,Washington,DC
org_000005,131624100,Museum Of Modern Art,"Arts, Culture & Humanities",A,A510,New York,NY
org_000006,43177990,Harvard Business School Publishing Corporation,"Arts, Culture & Humanities",A,A330,Brighton,MA
org_000007,536001666,National Gallery Of Art,"Arts, Culture & Humanities",A,A510,Landover,MD
org_000008,530245017,John F Kennedy Center For The Performing Arts,"Arts, Culture & Humanities",A,A610,Washington,DC
org_000009,986000843,Canada Council For The Arts,"Arts, Culture & Humanities",A,A26Z,Canada,
org_000010,131624087,Metropolitan Opera Association Inc,"Arts, Culture & Humanities",A,A6A0,New York,NY
org_000011,942816342,Educational Media Foundation,"Arts, Culture & Humanities",A,A340,Rocklin,CA
org_000012,136162659,American Museum Of Natural History,"Arts, Culture & Humanities",A,A560,New York,NY
org_000013,741109655,Museum Of Fine Arts Houston,"Arts, Culture & Humanities",A,A510,Houston,TX
org_000014,42104397,Wgbh Educational Foundation,"Arts, Culture & Humanities",A,A300,Brighton,MA
org_000015,951696734,Los Angeles Philharmonic Association,"Arts, Culture & Humanities",A,A690,Los Angeles,CA
org_000016,42103916,Museum Of Science,"Arts, Culture & Humanities",A,A570,Boston,MA
org_000017,464950751,The Barack Obama Foundation,"Arts, Culture & Humanities",A,A80,Chicago,IL
org_000018,582106707,National Foundation For The Ctrs For Disease Contr & Prevention Inc,"Arts, Culture & Humanities",A,A50Z,Atlanta,GA
org_000019,951644589,Henry E Huntington Library & Art Gallery,"Arts, Culture & Humanities",A,A540,San Marino,CA
org_000020,383866410,Royal National Theatre,"Arts, Culture & Humanities",A,A65,New York,NY
org_000021,521309391,United States Holocaust Memorial Council,"Arts, Culture & Humanities",A,A540,Washington,DC
org_000022,131847137,Lincoln Center For The Performing Arts Inc,"Arts, Culture & Humanities",A,A610,New York,NY
org_000023,132655731,Sesame Workshop,"Arts, Culture & Humanities",A,A320,New York,NY
org_000024,832549505,Christo And Jeanne Claude Foundation,"Arts, Culture & Humanities",A,A51,New York,NY
org_000025,455600818,Lucas Museum Of Narrative Art,"Arts, Culture & Humanities",A,A50,Los Angeles,CA
org_000026,42103607,Museum Of Fine Arts,"Arts, Culture & Humanities",A,A510,Boston,MA
org_000027,521068522,Rfe Rl Inc,"Arts, Culture & Humanities",A,A34Z,Washington,DC
org_000028,952264067,Museum Associates,"Arts, Culture & Humanities",A,A51,Los Angeles,CA
org_000029,591022050,Museum Of Arts & Sciences,"Arts, Culture & Humanities",A,A500,Daytona Beach,FL
org_000030,540505888,Colonial Williamsburg Foundation,"Arts, Culture & Humanities",A,A800,Williamsburg,VA
org_000031,530242992,Greater Washington Educational Telecommunications Association Inc,"Arts, Culture & Humanities",A,A300,Arlington,VA
org_000032,262810489,Wnet,"Arts, Culture & Humanities",A,A32,New York,NY
org_000033,956102146,California Institute Of The Arts,"Arts, Culture & Humanities",A,A250,Valencia,CA
org_000034,580633971,Robert W Woodruff Arts Center Inc,"Arts, Culture & Humanities",A,A20,Atlanta,GA
org_000035,201359710,Crystal Bridges Museum Of American Art Inc,"Arts, Culture & Humanities",A,A51,Bentonville,AR
org_000036,952501387,The Colburn School,"Arts, Culture & Humanities",A,A6E0,Los Angeles,CA
org_000037,340714336,Cleveland Museum Of Art,"Arts, Culture & Humanities",A,A510,Cleveland,OH
org_000038,223848589,Epoch Times Association Inc,"Arts, Culture & Humanities",A,A23,New York,NY
org_000039,362167823,Chicago Symphony Orchestra,"Arts, Culture & Humanities",A,A690,Chicago,IL
org_000040,590454318,Society Of The Four Arts,"Arts, Culture & Humanities",A,A200,Palm Beach,FL
org_000041,42103550,Boston Symphony Orchestra Inc,"Arts, Culture & Humanities",A,A690,Boston,MA
org_000042,131789318,Whitney Museum Of American Art,"Arts, Culture & Humanities",A,A510,New York,NY
org_000043,250965280,Carnegie Institute,"Arts, Culture & Humanities",A,A500,Pittsburgh,PA
org_000044,362167011,Field Museum Of Natural History,"Arts, Culture & Humanities",A,A560,Chicago,IL
org_000045,131664054,Philharmonic Symphony Society Of New York Inc,"Arts, Culture & Humanities",A,A690,New York,NY
org_000046,943027961,Internews Network,"Arts, Culture & Humanities",A,A320,Arcata,CA
org_000047,941241309,Kqed Inc,"Arts, Culture & Humanities",A,A300,San Francisco,CA
org_000048,410953924,Minnesota Public Radio,"Arts, Culture & Humanities",A,A340,Saint Paul,MN
org_000049,237287150,Segerstrom Center For The Arts,"Arts, Culture & Humanities",A,A610,Costa Mesa,CA
org_000050,237169959,Coif Charities Investment Fund,"Arts, Culture & Humanities",A,A12,United Kingdom,
org_000051,133085180,Royal Shakespeare,"Arts, Culture & Humanities",A,A650,United Kingdom,
org_000052,530210807,National Trust For Historic Preservation In The United States,"Arts, Culture & Humanities",A,A800,Washington,DC
org_000053,940836240,San Francisco Opera Association,"Arts, Culture & Humanities",A,A6A0,San Francisco,CA
org_000054,872028034,Wisconsin Museum Of Nature And Culture Inc,"Arts, Culture & Humanities",A,A50,Milwaukee,WI
org_000055,874356146,Military Aviation Museum Foundation,"Arts, Culture & Humanities",A,A11,Virginia Bch,VA
org_000056,381359510,Detroit Institute Of Arts,"Arts, Culture & Humanities",A,A510,Detroit,MI
org_000057,721200790,National World War Ii Museum Inc,"Arts, Culture & Humanities",A,A540,New Orleans,LA
org_000058,344455780,1389 Superior Credit Union Inc,"Arts, Culture & Humanities",A,A30,Lima,OH
org_000059,381359513,The Edison Institute Inc,"Arts, Culture & Humanities",A,A540,Dearborn,MI
org_000060,410713907,Minnesota Historical Society,"Arts, Culture & Humanities",A,A800,Saint Paul,MN
org_000061,952040874,San Diego Symphony Orchestra Association,"Arts, Culture & Humanities",A,A690,San Diego,CA
org_000062,980408652,National Arts Centre Corporation,"Arts, Culture & Humanities",A,A60,Canada,
